Brand,Screen_Size,CPU_Model,Ram,Rating,Graphics,Disk_size,Price
HP,15.6,i5,8.0,4.2,Intel,512.0,51846.0
HP,15.6,i5,16.0,4.4,Intel,512.0,62499.0
HP,15.6,ryzen5,16.0,4.3,AMD,512.0,48999.0
HP,16.1,ryzen7,8.0,4.5,Nvidia,16.0,119999.0
HP,15.6,ryzen5,8.0,4.3,AMD,512.0,45999.0
HP,14.0,ultra7,32.0,4.0,Intel,1024.0,136999.0
HP,15.6,i5,8.0,4.2,Intel,1024.0,56999.0
HP,14.0,ultra5,16.0,4.0,Intel,512.0,107999.0
HP,14.0,ultra7,16.0,4.0,Intel,512.0,111999.0
HP,16.0,ultra7,32.0,4.8,Intel,2048.0,186999.0
HP,14.0,ryzen5,16.0,4.0,AMD,512.0,89999.0
HP,16.0,ultra7,32.0,4.0,Nvidia,1024.0,200999.0
HP,14.0,ultra7,16.0,4.3,Nvidia,1024.0,160506.0
HP,15.6,i3,8.0,3.0,Intel,512.0,49999.0
HP,14.0,ultra5,16.0,4.0,Intel,512.0,99999.0
HP,14.0,ultra7,32.0,4.1,Intel,1024.0,170499.0
HP,15.6,i5,16.0,0.0,Intel,512.0,69999.0
HP,15.6,i7,16.0,2.0,Intel,512.0,79999.0
HP,15.6,i5,8.0,0.0,Intel,512.0,66999.0
HP,14.0,ryzen7,16.0,4.0,AMD,512.0,99999.0
HP,15.6,ryzen3,8.0,4.2,AMD,512.0,35999.0
HP,15.6,i3,8.0,4.2,Intel,1024.0,42521.0
HP,15.6,i5,16.0,4.3,Intel,512.0,98999.0
HP,14.0,i3,8.0,4.3,Intel,512.0,42999.0
HP,15.6,i3,8.0,4.4,Intel,512.0,46999.0
HP,15.6,i3,8.0,4.2,Intel,512.0,41999.0
HP,16.1,ryzen7,16.0,4.5,Nvidia,512.0,84999.0
HP,15.6,ryzen5,8.0,4.3,AMD,512.0,49999.0
HP,15.6,i5,8.0,4.4,Intel,512.0,61999.0
HP,16.1,ryzen7,16.0,4.5,Nvidia,1024.0,98999.0
HP,15.6,i5,8.0,4.4,Intel,512.0,59999.0
HP,15.6,i5,8.0,4.4,Intel,512.0,59999.0
HP,15.6,ryzen5,8.0,4.2,AMD,512.0,43999.0
HP,15.6,ryzen5,8.0,4.2,AMD,512.0,41078.0
HP,15.6,i5,8.0,4.4,Intel,512.0,59999.0
HP,16.1,ryzen7,16.0,4.5,Nvidia,1024.0,133999.0
HP,16.1,ryzen9,32.0,4.5,Nvidia,1024.0,179999.0
HP,14.0,ultra9,8.0,4.3,Nvidia,32.0,209999.0
HP,16.1,i9,8.0,4.1,Nvidia,32.0,209999.0
HP,16.1,ryzen9,8.0,4.5,Nvidia,16.0,165506.0
HP,14.0,i5,8.0,4.0,Intel,512.0,56999.0
HP,14.0,i7,16.0,4.0,Intel,1024.0,76999.0
HP,14.0,i5,16.0,4.5,Intel,512.0,72999.0
HP,14.0,i5,16.0,4.0,Intel,512.0,61999.0
HP,15.6,i3,8.0,4.2,Intel,512.0,40326.0
HP,14.0,i5,16.0,4.5,Intel,1024.0,81999.0
HP,14.0,i7,16.0,4.5,Intel,1024.0,94999.0
HP,14.0,i5,16.0,4.5,Intel,1024.0,81999.0
HP,14.0,i7,16.0,4.5,Intel,512.0,91999.0
HP,15.6,i7,16.0,4.4,Intel,1024.0,89999.0
HP,14.0,i5,16.0,4.0,Intel,512.0,63499.0
HP,15.0,ryzen7,16.0,4.2,AMD,512.0,79999.0
HP,14.0,i7,16.0,4.5,Intel,512.0,91999.0
HP,15.6,ryzen5,8.0,4.2,AMD,512.0,42729.0
HP,15.6,i5,16.0,4.4,Intel,512.0,71999.0
HP,15.6,ryzen5,8.0,4.3,AMD,512.0,50649.0
HP,16.0,ultra5,16.0,4.4,Intel,512.0,80999.0
HP,14.0,ultra5,16.0,4.9,Intel,512.0,87999.0
HP,15.0,ryzen5,16.0,4.4,AMD,512.0,69999.0
HP,16.0,i7,6.0,3.9,Nvidia,16.0,118999.0
HP,15.6,ryzen5,16.0,4.5,AMD,512.0,59999.0
HP,14.0,i5,16.0,5.0,Intel,512.0,72999.0
HP,14.0,i5,16.0,4.5,Intel,512.0,79999.0
HP,14.0,i3,8.0,0.0,Intel,512.0,66999.0
HP,16.0,ultra7,16.0,4.4,Intel,512.0,93999.0
HP,16.0,ultra7,32.0,0.0,Intel,1024.0,149999.0
HP,14.0,ultra7,16.0,4.7,Intel,1024.0,129999.0
HP,14.0,ultra7,32.0,5.0,Nvidia,1024.0,164999.0
HP,16.0,ultra7,32.0,5.0,Nvidia,1024.0,165999.0
HP,13.3,ultra7,32.0,4.5,Intel,1024.0,178999.0
HP,14.0,ultra7,16.0,0.0,Intel,512.0,115999.0
HP,14.0,ryzen7,16.0,4.3,AMD,512.0,106499.0
HP,14.0,ultra7,16.0,5.0,Other,1024.0,168999.0
HP,14.0,ultra5,16.0,0.0,Intel,512.0,79999.0
HP,16.0,ultra7,16.0,4.0,Intel,1024.0,141999.0
HP,14.0,ultra7,16.0,4.0,Intel,1024.0,168999.0
HP,15.6,i9,32.0,4.5,Nvidia,1024.0,238199.0
HP,14.0,ultra7,16.0,0.0,Nvidia,1024.0,156999.0
HP,14.0,ultra5,16.0,0.0,Intel,512.0,92999.0
HP,16.0,ultra7,16.0,0.0,Nvidia,1024.0,181999.0
HP,14.0,i5,16.0,4.6,Intel,512.0,98999.0
HP,14.0,ultra7,16.0,0.0,Intel,512.0,102999.0
HP,16.0,ultra7,32.0,0.0,Nvidia,1024.0,204999.0
HP,16.0,ultra7,32.0,0.0,Nvidia,1024.0,223999.0
HP,16.0,i9,32.0,0.0,Nvidia,1024.0,495999.0
HP,14.0,ryzen5,16.0,0.0,AMD,512.0,99999.0
HP,14.0,ryzen9,32.0,1.0,AMD,1024.0,157999.0
HP,16.0,i9,32.0,3.0,Nvidia,1024.0,379999.0
HP,16.0,i9,32.0,5.0,Nvidia,1024.0,413999.0
HP,14.0,i5,16.0,4.6,Intel,512.0,94499.0
HP,14.0,ultra5,16.0,5.0,Intel,1024.0,125999.0
HP,14.0,ultra7,16.0,0.0,Intel,1024.0,140999.0
HP,14.0,ryzen9,16.0,0.0,AMD,1024.0,147999.0
HP,16.0,ultra7,16.0,0.0,Nvidia,1024.0,157999.0
HP,16.0,ultra7,32.0,0.0,Nvidia,1024.0,189999.0
HP,16.0,ultra7,16.0,0.0,Nvidia,1024.0,196999.0
HP,15.6,ryzen9,32.0,0.0,Nvidia,1024.0,204999.0
HP,15.6,ryzen9,16.0,0.0,Nvidia,1024.0,219999.0
HP,16.0,ultra9,32.0,0.0,Nvidia,1024.0,246999.0
HP,16.0,i7,32.0,0.0,Nvidia,1024.0,331499.0
HP,16.0,i9,32.0,5.0,Nvidia,1024.0,351999.0
HP,16.0,i7,32.0,0.0,Nvidia,1024.0,365499.0
HP,16.0,i9,32.0,0.0,Nvidia,1024.0,412999.0
HP,16.0,i9,32.0,5.0,Nvidia,2048.0,419499.0
HP,16.0,i7,32.0,0.0,Nvidia,1024.0,457999.0
HP,15.6,i7,4.0,0.0,Nvidia,16.0,86263.0
HP,15.6,i5,4.0,0.0,Nvidia,8.0,67093.0
HP,15.6,i5,4.0,0.0,Nvidia,16.0,76678.0
HP,15.6,i7,4.0,0.0,Nvidia,16.0,82000.0
HP,15.6,i5,4.0,4.3,Nvidia,8.0,58719.0
HP,16.1,ryzen7,32.0,4.5,Nvidia,1024.0,133999.0
HP,16.1,ryzen7,16.0,4.5,Nvidia,1024.0,104999.0
HP,15.6,i5,6.0,4.3,Nvidia,16.0,85500.0
HP,15.6,celeron,8.0,4.6,Intel,512.0,27999.0
HP,15.6,ryzen5,8.0,4.3,Nvidia,512.0,59549.0
HP,16.1,i7,6.0,4.1,Nvidia,16.0,121999.0
HP,15.6,i5,16.0,4.3,Intel,512.0,72999.0
HP,14.0,i5,8.0,3.9,Intel,512.0,63999.0
HP,14.0,i5,16.0,4.4,Intel,512.0,87499.0
HP,16.1,ryzen7,16.0,4.5,Nvidia,1024.0,82999.0
HP,15.6,i7,6.0,4.3,Nvidia,16.0,104999.0
HP,13.3,i5,16.0,4.3,Intel,512.0,89999.0
HP,16.1,i7,8.0,4.6,Nvidia,16.0,142999.0
HP,14.0,i5,16.0,0.0,Intel,512.0,64999.0
HP,15.6,i5,6.0,4.3,Nvidia,16.0,82238.0
HP,15.6,ryzen5,8.0,4.3,AMD,512.0,53419.0
HP,15.6,ryzen5,16.0,4.3,Nvidia,1024.0,66999.0
HP,15.6,i5,16.0,4.4,Intel,1024.0,89999.0
HP,16.1,ryzen7,6.0,4.5,Nvidia,16.0,101999.0
HP,15.6,i5,16.0,4.4,Intel,512.0,55999.0
HP,14.0,ryzen5,16.0,4.6,AMD,512.0,68999.0
HP,16.0,ultra7,16.0,4.8,Intel,1024.0,157499.0
HP,14.0,celeron,4.0,4.2,Intel,64.0,28999.0
HP,14.0,i7,16.0,3.7,Intel,512.0,87999.0
HP,15.6,ryzen5,16.0,4.3,AMD,512.0,57999.0
HP,16.1,ryzen7,6.0,4.5,Nvidia,16.0,108999.0
HP,15.6,i5,8.0,4.4,Intel,1024.0,55999.0
HP,14.0,i5,16.0,3.7,Intel,512.0,72999.0
HP,15.6,i3,8.0,4.4,Intel,512.0,40534.0
HP,15.6,i3,4.0,4.4,AMD,256.0,27999.0
HP,15.6,i3,8.0,4.6,Intel,512.0,37999.0
HP,15.6,i5,8.0,4.4,Intel,8.0,56499.0
HP,16.1,ryzen7,16.0,4.5,Nvidia,1024.0,120999.0
HP,16.1,ultra7,16.0,0.0,Other,1024.0,139999.0
HP,13.3,ryzen7,16.0,4.5,AMD,512.0,86999.0
HP,16.1,i9,8.0,4.1,Nvidia,16.0,165506.0
HP,14.0,i3,4.0,0.0,Intel,64.0,29679.0
HP,14.0,i3,8.0,0.0,Intel,128.0,40279.0
HP,15.6,i5,16.0,4.3,Nvidia,512.0,76999.0
HP,14.0,i7,16.0,0.0,Intel,512.0,97999.0
HP,15.6,i7,8.0,4.3,Nvidia,16.0,105999.0
HP,15.6,i7,8.0,4.3,Nvidia,16.0,111999.0
HP,14.0,i3,8.0,0.0,Intel,256.0,49819.0
HP,15.6,i3,8.0,4.4,Intel,512.0,42599.0
HP,13.3,ryzen5,16.0,4.5,AMD,512.0,80999.0
HP,14.0,i7,16.0,4.4,Intel,512.0,95999.0
HP,16.1,i7,16.0,4.4,Nvidia,1024.0,101999.0
HP,14.0,ryzen7,16.0,5.0,AMD,512.0,102590.0
HP,16.1,i7,16.0,4.6,Nvidia,1024.0,135506.0
HP,14.0,ultra7,16.0,4.3,Nvidia,1024.0,161506.0
HP,14.0,i3,8.0,4.2,Intel,512.0,42999.0
HP,15.6,ryzen5,8.0,4.4,AMD,512.0,49999.0
HP,14.0,i3,8.0,0.0,Intel,512.0,51999.0
HP,14.0,ryzen5,8.0,4.6,AMD,512.0,54999.0
HP,15.0,i5,8.0,4.3,Intel,512.0,81999.0
HP,15.6,i7,16.0,4.4,Intel,512.0,84999.0
HP,15.6,i5,16.0,4.3,Intel,512.0,90999.0
HP,16.1,i7,16.0,4.4,Nvidia,512.0,96999.0
HP,16.1,ryzen7,8.0,4.5,Nvidia,32.0,130999.0
HP,14.0,i3,8.0,0.0,Intel,512.0,36999.0
HP,15.6,i5,16.0,4.5,Intel,512.0,59733.0
HP,15.6,i5,8.0,4.4,Intel,512.0,59999.0
HP,15.6,i5,16.0,4.2,Nvidia,512.0,70114.0
HP,14.0,i5,16.0,0.0,Intel,512.0,73499.0
HP,16.1,i7,8.0,4.1,Nvidia,16.0,129999.0
HP,16.1,i7,6.0,4.6,Nvidia,16.0,135506.0
HP,13.5,i7,32.0,4.6,Intel,512.0,232999.0
HP,14.0,i3,4.0,0.0,Intel,128.0,36039.0
HP,15.6,i3,8.0,4.4,Intel,512.0,41999.0
HP,14.0,i3,8.0,0.0,Intel,256.0,46639.0
HP,14.0,i3,8.0,0.0,Intel,128.0,47699.0
HP,14.0,i5,8.0,0.0,Intel,512.0,50999.0
HP,15.6,i5,8.0,4.4,Intel,512.0,52249.0
HP,14.0,ryzen5,8.0,4.6,AMD,512.0,62999.0
HP,14.0,i7,8.0,4.2,Intel,512.0,64999.0
HP,14.0,i7,8.0,0.0,Intel,512.0,80999.0
HP,14.0,ryzen5,16.0,4.6,AMD,512.0,82999.0
HP,14.0,i5,16.0,4.4,Intel,512.0,85999.0
HP,14.0,i5,16.0,4.4,Intel,1024.0,91999.0
HP,13.3,ryzen5,16.0,3.0,AMD,1024.0,107999.0
HP,15.6,i7,4.0,4.4,Nvidia,16.0,127999.0
HP,16.1,ryzen7,8.0,4.5,Nvidia,32.0,163999.0
HP,14.0,ultra7,32.0,0.0,Intel,1024.0,189999.0
HP,16.1,ryzen7,8.0,4.5,Nvidia,16.0,145999.0
HP,14.0,ultra7,16.0,0.0,Intel,1024.0,179999.0
HP,14.0,ultra7,32.0,0.0,Intel,1024.0,189999.0
HP,14.0,ultra7,32.0,4.1,Intel,1024.0,170499.0
HP,15.6,celeron,8.0,3.7,Intel,512.0,30949.0
HP,15.6,ryzen7,16.0,4.2,AMD,512.0,58359.0
HP,15.6,ryzen5,16.0,4.2,AMD,512.0,45924.0
HP,15.0,ryzen7,16.0,4.2,AMD,1024.0,62999.0
HP,14.0,i3,8.0,4.0,Intel,512.0,58999.0
HP,15.6,i5,16.0,4.4,Intel,8.0,76999.0
HP,14.0,ultra7,16.0,4.1,Intel,1024.0,107999.0
HP,14.0,ultra5,16.0,4.1,Intel,512.0,90999.0
HP,13.3,i7,32.0,4.4,Intel,512.0,134999.0
HP,14.0,i7,16.0,4.4,Intel,512.0,117999.0
HP,14.0,i7,32.0,4.4,Intel,512.0,123999.0
HP,14.0,ultra7,32.0,0.0,Intel,32.0,148999.0
HP,14.0,i7,32.0,4.6,Intel,1024.0,143999.0
HP,14.0,i7,32.0,4.4,Intel,1024.0,147999.0
HP,16.0,ultra9,32.0,0.0,Nvidia,1024.0,263999.0
HP,16.0,i5,16.0,4.5,Nvidia,512.0,131999.0
HP,16.0,i7,16.0,4.2,Intel,1024.0,148999.0
HP,15.6,i7,16.0,4.9,Nvidia,1024.0,173499.0
HP,15.6,ryzen7,32.0,0.0,Nvidia,1024.0,179999.0
HP,16.0,ultra7,16.0,0.0,Nvidia,1024.0,215999.0
HP,16.0,ultra7,32.0,0.0,Nvidia,1024.0,255999.0
HP,16.0,ultra9,64.0,0.0,Nvidia,1024.0,289999.0
HP,16.0,ultra9,64.0,0.0,Nvidia,1024.0,299999.0
HP,16.1,i7,12.0,0.0,Nvidia,32.0,379999.0
HP,15.6,i5,4.0,4.3,Nvidia,16.0,61899.0
HP,15.6,i5,4.0,4.3,Nvidia,16.0,70499.0
HP,15.0,ryzen5,8.0,4.6,AMD,512.0,59999.0
HP,15.6,i5,16.0,4.5,Intel,512.0,60999.0
HP,15.6,ryzen5,16.0,4.3,Nvidia,512.0,63048.0
HP,15.6,i5,16.0,4.2,Nvidia,512.0,72649.0
HP,15.6,ryzen5,8.0,0.0,AMD,512.0,38999.0
HP,15.6,ryzen5,8.0,4.4,AMD,512.0,39499.0
HP,14.0,celeron,4.0,4.0,Intel,64.0,26999.0
HP,14.0,i5,8.0,4.3,Intel,512.0,64999.0
HP,15.6,i5,8.0,0.0,Intel,512.0,65499.0
HP,16.0,i7,32.0,4.4,Intel,1024.0,195999.0
HP,15.6,ryzen3,8.0,4.4,AMD,512.0,38699.0
HP,14.0,ryzen5,8.0,3.0,AMD,512.0,38999.0
HP,14.0,ryzen3,8.0,3.0,AMD,512.0,39999.0
HP,15.6,i3,8.0,4.6,Intel,512.0,42999.0
HP,15.6,ryzen5,8.0,4.5,AMD,256.0,44500.0
HP,15.6,i5,8.0,4.6,Intel,512.0,53999.0
HP,14.0,i7,8.0,0.0,Intel,512.0,57999.0
HP,14.0,i3,8.0,4.2,Intel,512.0,58999.0
HP,14.0,i5,8.0,4.2,Intel,512.0,64099.0
HP,14.0,i5,8.0,4.3,Intel,512.0,64999.0
HP,14.0,i5,8.0,0.0,Intel,512.0,65999.0
