,Brand,Screen_Size,CPU_Model,Ram,Rating,Graphics,Disk_size,Price
0,Microsoft,12.4,i5,4.0,3.9,Intel,256.0,29519.18
1,HP,34.0,i7,32.0,4.4,Nvidia,512.0,177694.0
2,Dell,15.6,i5,16.0,4.3,Intel,256.0,67076.0
3,MSI,15.6,ryzen5,16.0,4.5,AMD,512.0,57318.0
4,MSI,17.3,i9,64.0,5.0,Nvidia,2048.0,200899.18
5,Alienware,17.3,i7,16.0,5.0,Nvidia,1024.0,147595.9
6,EXCaliberPC,17.3,i7,16.0,4.1,Nvidia,512.0,139318.0
7,EXCaliberPC,17.0,i7,32.0,0.0,Nvidia,1024.0,250018.0
8,EXCaliberPC,15.6,i7,16.0,0.0,Nvidia,1024.0,155718.0
9,EXCaliberPC,13.4,i7,32.0,0.0,Intel,1024.0,127018.0
10,EXCaliberPC,17.3,i9,64.0,5.0,Nvidia,3072.0,356290.0
11,EXCaliberPC,16.0,i7,32.0,0.0,Nvidia,1024.0,250018.0
12,EXCaliberPC,15.6,i9,16.0,5.0,Nvidia,512.0,147518.0
13,EXCaliberPC,17.3,i7,32.0,5.0,Nvidia,4096.0,270190.0
14,GIGABYTE,15.6,ryzen9,16.0,4.1,Nvidia,512.0,114718.0
15,Panasonic,14.0,i5,4.0,3.1,Intel,320.0,159899.18
16,MSI,15.6,i5,16.0,5.0,Nvidia,1024.0,56579.18
17,EXCaliberPC,17.3,i7,32.0,5.0,Nvidia,1024.0,204918.0
18,EXCaliberPC,15.6,i7,32.0,0.0,Nvidia,1024.0,217218.0
19,EXCaliberPC,17.3,i9,32.0,5.0,Nvidia,1024.0,262318.0
20,EXCaliberPC,15.6,i9,64.0,5.0,Nvidia,4096.0,376790.0
21,MSI,17.3,i9,32.0,5.0,Nvidia,1024.0,155718.0
22,EXCaliberPC,17.0,i9,64.0,0.0,Nvidia,4096.0,425990.0
23,EXCaliberPC,15.6,i9,16.0,0.0,Nvidia,1024.0,139318.0
24,EXCaliberPC,16.0,i7,64.0,0.0,Nvidia,1024.0,190158.0
25,MSI,15.6,i5,32.0,4.2,Nvidia,1024.0,65518.0
26,MSI,15.6,i7,32.0,4.8,Intel,1024.0,155718.0
27,other,14.0,celeron,4.0,3.8,Intel,128.0,18859.18
28,MSI,17.3,i5,8.0,0.0,Nvidia,512.0,80257.5
29,MSI,17.3,i7,16.0,0.0,Nvidia,1024.0,135998.63999999998
30,EXCaliberPC,14.0,i5,16.0,3.0,Nvidia,512.0,90118.0
31,EXCaliberPC,16.0,i7,16.0,0.0,Nvidia,1024.0,196718.0
32,EXCaliberPC,15.6,i9,32.0,0.0,Nvidia,1024.0,229518.0
33,EXCaliberPC,17.3,i7,16.0,0.0,Nvidia,1024.0,196718.0
34,EXCaliberPC,16.0,i7,32.0,0.0,Nvidia,1024.0,295118.0
35,EXCaliberPC,17.3,i7,16.0,0.0,Nvidia,512.0,118818.0
36,EXCaliberPC,14.0,i7,16.0,3.0,Nvidia,512.0,98318.0
37,EXCaliberPC,14.0,i5,16.0,0.0,Intel,512.0,90118.0
38,EXCaliberPC,15.6,ryzen7,16.0,0.0,AMD,1024.0,122918.0
39,EXCaliberPC,16.0,i7,16.0,0.0,Nvidia,1024.0,132758.0
40,EXCaliberPC,15.6,i7,64.0,0.0,Nvidia,1024.0,237718.0
41,EXCaliberPC,14.0,i7,16.0,0.0,Intel,1024.0,106518.0
42,EXCaliberPC,14.0,i5,16.0,0.0,Intel,512.0,70045.22
43,EXCaliberPC,14.0,i7,16.0,0.0,Intel,1024.0,129478.0
44,other,16.2,i7,32.0,4.9,Other,512.0,237718.0
45,other,13.3,i7,16.0,2.8,Other,1024.0,120453.9
46,MSI,17.3,i7,16.0,0.0,Nvidia,512.0,101922.72
47,MSI,15.6,i7,16.0,5.0,Intel,1024.0,77950.02
48,MSI,17.3,i7,32.0,0.0,Nvidia,1024.0,135218.0
49,MSI,17.3,i7,32.0,0.0,Nvidia,1024.0,170924.9
50,MSI,16.0,i9,32.0,4.6,Nvidia,2048.0,221318.0
51,Acer,15.6,i3,4.0,4.3,Intel,128.0,19598.0
52,EXCaliberPC,17.3,i9,32.0,0.0,Nvidia,1024.0,245918.0
53,MSI,16.0,i7,32.0,4.2,Nvidia,1024.0,71340.0
54,MSI,17.3,i7,16.0,4.5,Nvidia,1024.0,126033.18
55,MSI,15.6,i5,8.0,5.0,Intel,512.0,85732.64
56,MSI,15.6,i7,8.0,3.0,Intel,1024.0,58588.18
57,EXCaliberPC,15.6,i9,64.0,0.0,Nvidia,4096.0,270190.0
58,MSI,16.0,i7,32.0,4.2,Nvidia,1024.0,71340.0
59,MSI,17.3,i9,64.0,0.0,Nvidia,2048.0,197538.0
60,MSI,17.3,i7,16.0,5.0,Nvidia,1024.0,122691.68
61,MSI,17.3,i7,32.0,0.0,Nvidia,32.0,143499.18
62,EXCaliberPC,17.3,i7,16.0,0.0,Nvidia,1024.0,163918.0
63,MSI,15.6,i5,16.0,4.1,Nvidia,1024.0,57399.18
64,MSI,17.3,i7,16.0,0.0,Nvidia,1024.0,90118.0
65,MSI,15.6,i7,64.0,3.7,Nvidia,2048.0,135218.0
66,MSI,15.6,i7,16.0,4.0,Nvidia,512.0,135218.0
67,MSI,14.1,i5,8.0,4.3,Intel,512.0,57399.18
68,MSI,14.0,i5,16.0,0.0,Intel,512.0,87928.59999999999
69,MSI,15.6,i7,8.0,4.5,Nvidia,512.0,50758.0
70,MSI,17.3,ryzen7,16.0,5.0,AMD,512.0,122998.36
71,MSI,15.6,i7,16.0,4.5,Nvidia,512.0,129149.18
72,MSI,14.0,i7,16.0,3.1,Nvidia,1024.0,98154.0
73,EXCaliberPC,15.6,i7,32.0,5.0,Nvidia,1024.0,155718.0
74,MSI,15.6,i7,8.0,3.9,Nvidia,512.0,81918.0
75,EXCaliberPC,15.6,i7,32.0,2.5,Nvidia,1024.0,137678.0
76,MSI,17.3,i7,16.0,4.5,Nvidia,512.0,133243.44
77,MSI,17.3,i7,16.0,4.4,Nvidia,512.0,102499.18
78,MSI,14.0,i7,16.0,0.0,Nvidia,512.0,98318.0
79,MSI,15.6,i5,16.0,0.0,Nvidia,512.0,73129.24
80,MSI,15.6,i7,16.0,0.0,Nvidia,1024.0,105283.9
81,MSI,15.6,i7,32.0,4.2,Nvidia,1024.0,204918.0
82,MSI,15.6,i7,32.0,0.0,Nvidia,2048.0,368918.0
83,MSI,15.6,i5,8.0,0.0,Nvidia,512.0,55962.54
84,EXCaliberPC,17.3,i7,16.0,5.0,Nvidia,1024.0,192618.0
85,MSI,15.6,i9,32.0,3.7,Nvidia,1024.0,385399.18
86,MSI,17.3,i7,16.0,4.3,Nvidia,1024.0,172118.0
87,MSI,14.0,i7,16.0,5.0,Nvidia,512.0,89401.31999999999
88,MSI,17.3,i7,16.0,5.0,Intel,512.0,163918.0
89,EXCaliberPC,17.0,i7,32.0,0.0,Nvidia,1024.0,250018.0
90,MSI,14.0,i7,8.0,5.0,Intel,512.0,59755.04
91,MSI,15.6,i7,16.0,4.7,Nvidia,512.0,91184.0
92,EXCaliberPC,17.3,i9,64.0,5.0,Nvidia,4096.0,376790.0
93,MSI,15.6,i7,16.0,0.0,Nvidia,512.0,73718.0
94,Lenovo,15.6,ryzen5,8.0,4.4,Nvidia,256.0,53218.0
95,MSI,15.6,i7,16.0,3.7,Nvidia,1024.0,195238.72
96,MSI,17.3,i7,32.0,4.0,Nvidia,1024.0,221318.0
97,MSI,15.6,i7,16.0,0.0,Nvidia,1024.0,131118.0
98,MSI,17.3,i9,32.0,0.0,Nvidia,1024.0,299218.0
99,EXCaliberPC,15.6,i7,16.0,0.0,Nvidia,1024.0,163918.0
100,EXCaliberPC,15.6,i7,16.0,0.0,Nvidia,1024.0,155718.0
101,MSI,15.6,i7,8.0,4.5,Nvidia,512.0,65436.0
102,MSI,15.6,i7,32.0,5.0,Intel,1024.0,180399.18
103,MSI,15.6,ryzen5,8.0,2.0,Other,256.0,57318.0
104,MSI,15.6,i7,8.0,5.0,Nvidia,512.0,72814.36
105,MSI,15.6,i7,64.0,4.2,Nvidia,1024.0,229518.0
106,MSI,15.6,i7,8.0,4.5,Nvidia,512.0,50758.0
107,MSI,15.6,i7,16.0,0.0,Nvidia,1024.0,204999.18
108,MSI,15.6,i7,16.0,5.0,Nvidia,1024.0,122918.0
109,EXCaliberPC,15.6,i7,32.0,0.0,Nvidia,512.0,114718.0
110,MSI,13.4,i5,16.0,0.0,Intel,512.0,122917.18
111,MSI,17.3,i9,32.0,4.6,Nvidia,1024.0,409918.0
112,MSI,15.6,i7,8.0,4.4,Nvidia,512.0,56578.36
113,EXCaliberPC,16.0,i7,64.0,0.0,Nvidia,1024.0,190158.0
114,MSI,14.0,i7,16.0,4.2,Nvidia,512.0,80076.28
115,EXCaliberPC,17.3,i7,16.0,0.0,Nvidia,512.0,94218.0
116,EXCaliberPC,17.3,i7,32.0,5.0,Nvidia,1024.0,147518.0
117,MSI,15.6,i7,64.0,4.4,Nvidia,1024.0,270518.0
118,MSI,15.6,i7,8.0,4.3,Nvidia,1024.0,81999.18000000001
119,MSI,16.0,i7,16.0,0.0,Nvidia,512.0,188518.0
120,EXCaliberPC,15.6,i9,16.0,0.0,Nvidia,1024.0,139318.0
121,MSI,15.6,i7,8.0,4.5,Nvidia,256.0,90199.18
122,MSI,15.6,i7,16.0,0.0,Nvidia,512.0,106518.0
123,MSI,17.3,i7,8.0,4.5,Nvidia,512.0,106599.18
124,MSI,17.3,i9,32.0,4.3,Nvidia,1024.0,278718.0
125,MSI,14.0,i5,16.0,0.0,Nvidia,512.0,83935.2
126,MSI,16.0,i9,16.0,0.0,Nvidia,1024.0,182424.58
127,MSI,15.6,i7,32.0,3.7,Nvidia,512.0,213199.18
128,MSI,14.0,i7,8.0,1.0,Intel,512.0,65518.0
129,EXCaliberPC,15.6,i7,16.0,0.0,Nvidia,1024.0,121278.0
130,MSI,15.6,i5,16.0,5.0,Nvidia,512.0,87274.23999999999
131,MSI,15.6,i7,16.0,0.0,Nvidia,512.0,106518.0
132,MSI,15.6,i7,16.0,4.5,Nvidia,512.0,77818.0
133,MSI,17.3,i7,64.0,4.2,Nvidia,512.0,163997.54
134,MSI,14.0,i5,8.0,2.0,Intel,512.0,62893.18
135,MSI,17.3,i7,16.0,0.0,Nvidia,1024.0,245918.0
136,MSI,15.6,i7,32.0,0.0,Nvidia,1024.0,168018.0
137,MSI,15.6,i5,8.0,4.5,Nvidia,256.0,46337.380000000005
138,MSI,15.6,i7,32.0,0.0,Nvidia,1024.0,151699.18
139,EXCaliberPC,17.3,i7,64.0,0.0,Nvidia,4096.0,302990.0
140,MSI,15.6,i7,4.0,4.8,Nvidia,1024.0,131118.0
141,EXCaliberPC,13.4,i7,32.0,0.0,Intel,1024.0,127018.0
142,MSI,15.6,i7,8.0,4.2,Nvidia,512.0,92208.18
143,MSI,15.6,i7,32.0,4.2,Nvidia,1024.0,163999.18
144,EXCaliberPC,15.6,i7,32.0,0.0,Nvidia,1024.0,217218.0
145,MSI,15.6,i5,8.0,0.0,Nvidia,512.0,86017.18000000001
146,MSI,14.0,i5,16.0,0.0,Intel,512.0,90118.0
147,MSI,17.3,i7,32.0,4.7,Nvidia,1024.0,163918.0
148,EXCaliberPC,17.3,i7,32.0,5.0,Nvidia,1024.0,147518.0
149,EXCaliberPC,17.0,i9,64.0,0.0,Nvidia,2048.0,360718.0
150,MSI,15.6,i7,8.0,4.3,Nvidia,1024.0,81999.18000000001
151,MSI,17.3,i9,32.0,0.0,Nvidia,1024.0,245918.0
152,MSI,15.6,i7,8.0,4.4,Nvidia,512.0,56578.36
153,MSI,17.3,i9,32.0,4.6,Nvidia,1024.0,409918.0
154,EXCaliberPC,16.0,i7,64.0,0.0,Nvidia,1024.0,190158.0
155,MSI,15.6,ryzen5,8.0,2.0,Other,256.0,57318.0
156,MSI,15.6,i7,8.0,5.0,Nvidia,512.0,72814.36
157,MSI,15.6,i7,64.0,4.2,Nvidia,1024.0,229518.0
158,EXCaliberPC,17.3,i9,32.0,5.0,Nvidia,2048.0,282818.0
159,MSI,14.0,i7,16.0,0.0,Intel,512.0,98318.0
160,MSI,15.6,i9,16.0,4.0,Intel,1024.0,138190.5
161,MSI,17.3,i7,16.0,4.0,Nvidia,512.0,139806.72
162,MSI,17.3,i9,64.0,5.0,Nvidia,1024.0,344641.08
163,MSI,15.6,i7,16.0,3.3,Nvidia,512.0,90199.18
164,EXCaliberPC,16.0,i7,32.0,0.0,Nvidia,1024.0,250018.0
165,MSI,15.6,i9,32.0,3.9,Nvidia,2048.0,298066.72000000003
166,MSI,17.3,i7,16.0,4.8,Nvidia,512.0,102499.18
167,MSI,13.4,i7,16.0,3.3,Intel,512.0,81997.54000000001
168,MSI,14.0,i7,16.0,4.3,Intel,512.0,77899.18000000001
169,MSI,15.6,i7,8.0,4.5,Nvidia,512.0,68845.56
170,EXCaliberPC,15.6,i9,32.0,5.0,Nvidia,1024.0,213118.0
171,MSI,16.0,i7,32.0,0.0,Nvidia,1024.0,245918.0
172,MSI,17.3,i7,16.0,0.0,Nvidia,512.0,101922.72
173,MSI,15.6,i5,8.0,4.7,Intel,512.0,65717.26
174,Acer,15.6,i3,4.0,4.3,Intel,128.0,19598.0
175,MSI,15.6,i5,32.0,3.8,Nvidia,1024.0,114799.18
176,MSI,17.3,i7,16.0,5.0,Nvidia,512.0,118818.0
177,MSI,15.6,i7,16.0,0.0,Nvidia,1024.0,117770.86
178,MSI,15.6,i5,16.0,5.0,Nvidia,256.0,65518.0
179,MSI,15.6,i5,8.0,4.3,Nvidia,512.0,98318.0
180,MSI,15.6,i7,16.0,3.6,Intel,1024.0,204999.18
181,MSI,17.3,i9,16.0,5.0,Nvidia,1024.0,143499.18
182,MSI,15.6,i9,16.0,0.0,Intel,1024.0,159818.0
183,EXCaliberPC,17.3,i7,32.0,5.0,Nvidia,1024.0,213118.0
184,MSI,15.6,i7,8.0,4.8,Nvidia,512.0,91026.56
185,MSI,13.4,i7,16.0,4.0,Intel,1024.0,86919.18000000001
186,EXCaliberPC,16.0,i7,16.0,0.0,Intel,512.0,94218.0
187,EXCaliberPC,14.0,i7,16.0,0.0,Intel,512.0,106518.0
188,EXCaliberPC,15.6,i7,32.0,0.0,Nvidia,1024.0,172118.0
189,EXCaliberPC,14.0,i5,16.0,0.0,Intel,512.0,98318.0
190,EXCaliberPC,17.3,i7,16.0,0.0,Nvidia,512.0,106518.0
191,EXCaliberPC,15.6,ryzen9,16.0,3.4,Nvidia,1024.0,137678.0
192,MSI,15.6,i5,16.0,4.4,Intel,512.0,74038.62
193,MSI,17.3,i9,16.0,0.0,Nvidia,1024.0,136038.0
194,MSI,16.0,i9,32.0,4.0,Nvidia,2048.0,182274.52
195,MSI,13.4,i7,16.0,0.0,Intel,1024.0,89297.18000000001
196,EXCaliberPC,15.6,i9,32.0,5.0,Nvidia,1024.0,213118.0
197,MSI,17.3,i7,64.0,5.0,Nvidia,2048.0,176218.0
198,Acer,15.6,ryzen5,8.0,4.5,AMD,256.0,39688.0
199,MSI,15.6,i5,8.0,4.8,Nvidia,256.0,53298.36
200,other,12.3,celeron,8.0,4.2,Other,256.0,29519.18
201,other,14.0,celeron,12.0,3.7,Intel,256.0,28699.18
202,EXCaliberPC,14.0,i5,16.0,0.0,Intel,512.0,98318.0
203,EXCaliberPC,15.6,ryzen9,16.0,3.4,Nvidia,1024.0,137678.0
204,EXCaliberPC,15.6,i7,16.0,0.0,Nvidia,512.0,110618.0
205,EXCaliberPC,16.0,i7,32.0,5.0,Nvidia,1024.0,188518.0
206,EXCaliberPC,16.0,i9,64.0,0.0,Nvidia,4096.0,384990.0
207,EXCaliberPC,14.0,ryzen9,16.0,5.0,AMD,1024.0,135218.0
208,EXCaliberPC,16.0,i9,32.0,0.0,Nvidia,2048.0,221318.0
209,EXCaliberPC,15.6,i5,16.0,0.0,Nvidia,512.0,90118.0
210,EXCaliberPC,15.6,ryzen9,16.0,0.0,Nvidia,512.0,122999.18
211,EXCaliberPC,15.6,i7,32.0,2.5,Nvidia,1024.0,137678.0
212,EXCaliberPC,17.3,i7,16.0,0.0,Nvidia,512.0,94218.0
213,EXCaliberPC,15.6,i9,64.0,5.0,Nvidia,1024.0,280358.0
214,EXCaliberPC,15.6,i7,16.0,5.0,Nvidia,512.0,102418.0
215,MSI,17.3,i9,64.0,0.0,Nvidia,2048.0,360718.0
216,MSI,14.0,i3,8.0,0.0,Intel,128.0,35916.0
217,MSI,15.6,ryzen7,8.0,4.5,AMD,512.0,60351.18
218,MSI,15.6,i5,8.0,4.0,Intel,512.0,57175.32
219,MSI,15.6,i7,16.0,4.0,Nvidia,1024.0,176218.0
220,MSI,17.3,i5,8.0,4.6,Other,512.0,61418.0
221,MSI,17.3,i7,32.0,3.5,Nvidia,1024.0,250796.18
222,MSI,16.0,i5,16.0,5.0,Intel,512.0,102385.2
223,MSI,15.6,i7,16.0,3.9,Nvidia,1024.0,147518.0
224,MSI,15.6,i7,16.0,4.7,Nvidia,512.0,86165.59999999999
225,MSI,16.0,i7,16.0,5.0,Nvidia,1024.0,128346.4
226,MSI,15.6,i5,16.0,4.3,Nvidia,512.0,53218.0
227,EXCaliberPC,17.3,i7,16.0,0.0,Nvidia,1024.0,163918.0
228,EXCaliberPC,15.6,i7,16.0,0.0,Nvidia,1024.0,143418.0
229,EXCaliberPC,15.6,i9,64.0,5.0,Nvidia,4096.0,405490.0
230,EXCaliberPC,15.6,i7,16.0,0.0,Nvidia,1024.0,163918.0
231,EXCaliberPC,16.0,ryzen9,32.0,0.0,Nvidia,1024.0,286918.0
232,EXCaliberPC,17.3,i7,32.0,5.0,Nvidia,1024.0,147518.0
233,EXCaliberPC,17.3,i7,16.0,4.1,Nvidia,512.0,139318.0
234,HP,11.6,i3,4.0,4.5,AMD,32.0,14678.0
235,HP,14.0,celeron,4.0,4.2,Intel,64.0,24518.0
236,HP,14.0,celeron,4.0,4.2,Intel,64.0,22058.0
237,HP,14.0,celeron,4.0,4.5,Intel,64.0,26239.18
238,Acer,15.6,i3,4.0,4.3,Intel,128.0,26157.18
239,other,13.0,i7,16.0,4.2,Other,256.0,116148.9
240,HP,14.0,celeron,4.0,4.3,Intel,64.0,23698.0
241,Acer,15.6,celeron,4.0,4.6,Intel,32.0,18778.0
242,Acer,17.3,i3,20.0,4.6,Intel,512.0,42558.0
243,Acer,11.6,i3,4.0,4.4,Other,32.0,14678.0
244,Acer,15.6,ryzen3,8.0,4.3,AMD,256.0,36899.18
245,Acer,15.6,celeron,4.0,4.3,Intel,32.0,18778.0
246,Acer,15.6,ryzen7,16.0,3.0,AMD,512.0,51578.0
247,Toughbook,14.0,i7,16.0,2.1,Other,512.0,295118.0
248,Acer,17.3,i5,8.0,4.3,Intel,512.0,49938.0
249,Acer,15.6,ryzen3,8.0,4.5,Intel,512.0,49118.0
250,Acer,15.6,i7,32.0,5.0,Intel,1024.0,90199.18
251,Acer,15.6,i7,20.0,5.0,Intel,512.0,61418.0
252,Acer,11.6,i3,4.0,5.0,AMD,32.0,13858.0
253,Acer,13.5,i5,8.0,4.3,Other,256.0,81041.42
254,ASUS,15.6,i3,8.0,4.4,Intel,128.0,24599.18
255,Acer,17.3,i3,16.0,4.7,Intel,1024.0,49199.18
256,Panasonic,14.0,i7,8.0,0.0,Intel,512.0,177179.03999999998
257,Toughbook,13.1,i5,4.0,0.0,Intel,512.0,245999.18
258,Toughbook,14.0,i5,16.0,0.0,Intel,512.0,212864.62
259,Toughbook,14.0,i7,8.0,5.0,Intel,512.0,247639.18
260,Acer,14.0,celeron,4.0,5.0,Intel,64.0,19188.0
261,Acer,15.6,i7,24.0,5.0,Intel,1024.0,57318.0
262,Acer,14.0,i3,4.0,4.4,Intel,128.0,24518.0
263,Acer,14.0,i7,16.0,4.3,Intel,512.0,62648.0
264,Acer,14.0,i5,8.0,4.4,Intel,256.0,27798.0
265,Acer,11.6,i3,32.0,4.5,Other,32.0,10659.18
266,Acer,17.3,i3,12.0,5.0,Intel,512.0,36899.18
267,Acer,15.6,i3,20.0,0.0,Intel,512.0,38458.0
268,Panasonic,13.1,i5,4.0,0.0,Intel,500.0,270599.18
269,Acer,15.6,i7,16.0,5.0,Intel,512.0,56374.18
270,Acer,12.0,celeron,4.0,4.2,Intel,32.0,10659.18
271,Acer,14.0,i5,8.0,5.0,Intel,256.0,42558.0
272,Acer,15.6,i7,32.0,4.4,Intel,1024.0,77818.0
273,other,14.0,celeron,12.0,4.3,Intel,256.0,26158.0
274,Acer,14.0,i7,16.0,4.0,Intel,1024.0,122999.18
275,ASUS,17.3,celeron,4.0,0.0,Intel,64.0,22959.18
276,Acer,14.0,i3,16.0,2.5,Intel,1024.0,49770.72
277,Acer,15.6,i3,24.0,4.1,AMD,1024.0,49199.18
278,Acer,17.3,celeron,4.0,4.0,Intel,64.0,16399.18
279,Acer,15.6,i7,16.0,5.0,Nvidia,512.0,79458.0
280,Acer,13.3,i5,8.0,0.0,Intel,512.0,32799.18
281,Acer,14.0,celeron,4.0,4.5,Intel,64.0,14755.9
282,Acer,15.6,ryzen3,8.0,3.9,AMD,128.0,40098.0
283,Acer,15.6,i3,20.0,3.9,Other,512.0,38458.0
284,Acer,14.0,celeron,4.0,4.4,Intel,32.0,9757.18
285,Acer,14.0,ryzen7,16.0,3.7,Nvidia,1024.0,73799.18000000001
286,Acer,17.3,celeron,4.0,4.5,Intel,64.0,26978.0
287,Acer,15.6,ryzen5,8.0,0.0,AMD,512.0,43137.740000000005
288,Acer,14.0,i3,8.0,4.2,Other,256.0,38950.0
289,Acer,14.0,i5,8.0,5.0,Intel,512.0,65338.42
290,Acer,15.6,i5,16.0,5.0,Nvidia,1024.0,74538.0
291,Acer,11.6,celeron,4.0,4.3,Intel,32.0,13858.0
292,Acer,14.0,i7,16.0,4.0,Nvidia,512.0,94217.18
293,Acer,15.6,ryzen3,12.0,4.1,AMD,512.0,40179.18
294,Acer,17.3,i5,20.0,4.3,Intel,512.0,54858.0
295,Acer,15.6,ryzen5,16.0,3.9,Nvidia,512.0,94218.0
296,Acer,15.6,celeron,2.0,4.3,Intel,16.0,14596.0
297,Acer,14.0,i5,8.0,4.4,Other,512.0,73718.0
298,Acer,15.6,i7,16.0,4.5,Nvidia,256.0,98399.18
299,Acer,16.0,i7,16.0,3.5,Nvidia,512.0,129794.52
300,Panasonic,14.0,i5,4.0,2.6,Intel,512.0,73799.18000000001
301,Toughbook,13.1,i7,4.0,0.0,Intel,500.0,311599.18
302,HP,14.0,i3,8.0,4.3,AMD,64.0,32799.18
303,Toughbook,10.1,i5,4.0,3.1,Intel,4.0,49199.18
304,Panasonic,14.0,i5,16.0,0.0,Intel,512.0,249116.0
305,CHUWI,14.1,celeron,8.0,3.9,Intel,256.0,19679.18
306,Acer,14.0,ryzen7,16.0,0.0,Nvidia,1024.0,77818.0
307,Acer,15.6,i5,8.0,4.4,Nvidia,256.0,61499.18
308,Acer,14.0,i5,16.0,4.6,Intel,1024.0,52314.36
309,Acer,14.0,i5,8.0,4.3,Intel,256.0,85311.16
310,Acer,11.6,i3,4.0,5.0,Intel,32.0,7457.900000000001
311,Acer,15.6,celeron,4.0,4.6,Intel,64.0,29519.18
312,HP,15.6,i5,8.0,4.4,Intel,256.0,36735.18
313,Acer,14.0,i5,8.0,0.0,Intel,512.0,76259.18000000001
314,Acer,14.0,i7,8.0,3.8,Intel,256.0,111020.62
315,Acer,15.6,ryzen7,16.0,5.0,AMD,1024.0,56579.18
316,Acer,15.6,celeron,4.0,4.5,Intel,64.0,28618.0
317,Acer,15.6,i5,8.0,4.2,Intel,512.0,61499.18
318,Acer,11.6,i3,4.0,3.6,Other,32.0,19598.0
319,Acer,11.6,i3,4.0,4.3,Other,32.0,12628.0
320,HP,15.6,celeron,16.0,4.4,Intel,1024.0,39278.0
321,Acer,11.6,i3,4.0,0.0,AMD,64.0,12751.0
322,Acer,15.6,i5,16.0,4.1,Nvidia,512.0,110861.54
323,Acer,17.3,i7,16.0,4.5,Nvidia,512.0,188518.0
324,Acer,15.6,i7,16.0,4.0,Nvidia,512.0,84459.18000000001
325,Acer,13.3,i5,8.0,3.7,Intel,512.0,49938.0
326,Acer,15.6,celeron,4.0,4.3,Intel,16.0,12126.16
327,Acer,11.6,celeron,4.0,3.9,Intel,16.0,6559.179999999999
328,Acer,11.6,celeron,4.0,4.5,Intel,32.0,11534.12
329,Acer,14.0,i7,16.0,5.0,Intel,1024.0,89704.72
330,Acer,14.0,i5,8.0,4.0,Intel,256.0,45441.94
331,Acer,15.6,i5,32.0,3.2,Nvidia,1024.0,81918.0
332,Acer,15.6,i3,4.0,4.5,Other,128.0,25830.0
333,Acer,15.6,i7,16.0,4.6,Nvidia,512.0,100031.8
334,Acer,15.6,i7,8.0,5.0,Nvidia,256.0,57318.0
335,Acer,17.3,i5,8.0,4.7,Nvidia,256.0,58219.18
336,Acer,15.6,i7,32.0,0.0,Nvidia,2048.0,159899.18
337,Acer,15.6,i7,32.0,0.0,Intel,1024.0,93398.0
338,Acer,15.6,ryzen3,8.0,4.4,AMD,256.0,40918.0
339,Acer,14.0,i7,16.0,0.0,Intel,1024.0,98399.18
340,Acer,14.0,i5,16.0,0.0,Intel,512.0,76259.18000000001
341,Acer,14.0,celeron,4.0,4.2,Intel,16.0,13525.9
342,Acer,11.6,i3,4.0,4.2,Intel,32.0,10659.18
343,Acer,15.6,i5,8.0,4.5,Other,256.0,51496.0
344,Acer,11.6,celeron,8.0,2.6,Intel,64.0,39359.18
345,Acer,11.6,celeron,4.0,5.0,Other,512.0,7216.0
346,Acer,11.6,celeron,4.0,4.2,Other,32.0,11398.0
347,Acer,15.6,i7,64.0,5.0,Nvidia,2048.0,172938.0
348,Acer,14.0,celeron,4.0,4.3,Intel,32.0,20490.16
349,Acer,14.0,i5,8.0,4.8,Intel,512.0,114799.18
350,Acer,15.6,i7,8.0,3.8,Intel,1024.0,49117.18
351,Acer,11.6,i3,4.0,4.1,Other,32.0,13118.36
352,Acer,15.6,i3,8.0,4.6,Intel,500.0,40918.0
353,Acer,16.0,i7,16.0,5.0,Nvidia,1024.0,163999.18
354,HP,17.3,i3,4.0,4.5,Intel,256.0,35505.18
355,Acer,14.0,i7,8.0,4.6,Intel,1024.0,65518.0
356,Acer,15.6,i7,16.0,4.4,Nvidia,1024.0,94299.18
357,Acer,17.3,i5,24.0,0.0,Nvidia,1024.0,76259.18000000001
